Date,Home,Away,HomeGoals,AwayGoals,HomePass%,AwayPass%
2020-09-12,Fulham,Arsenal,0,3,78.2,86.9
2020-09-12,Crystal Palace,Southampton,1,0,74.7,82.4
2020-09-12,Liverpool,Leeds United,4,3,86.0,83.8
2020-09-12,West Ham,Newcastle Utd,0,2,80.7,72.9
2020-09-13,West Brom,Leicester City,0,3,76.4,87.6
2020-09-13,Tottenham,Everton,0,1,81.4,79.8
2020-09-14,Sheffield Utd,Wolves,0,2,78.9,81.8
2020-09-14,Brighton,Chelsea,1,3,81.7,85.1
2020-09-19,Everton,West Brom,5,2,79.8,76.4
2020-09-19,Leeds United,Fulham,4,3,83.8,78.2
2020-09-19,Manchester Utd,Crystal Palace,1,3,84.4,74.7
2020-09-19,Arsenal,West Ham,2,1,86.9,80.7
2020-09-20,Southampton,Tottenham,2,5,82.4,81.4
2020-09-20,Newcastle Utd,Brighton,0,3,72.9,81.7
2020-09-20,Chelsea,Liverpool,0,2,85.1,86.0
2020-09-20,Leicester City,Burnley,4,2,87.6,76.9
2020-09-21,Aston Villa,Sheffield Utd,1,0,79.0,78.9
2020-09-21,Wolves,Manchester City,1,3,81.8,88.4
2020-09-26,Brighton,Manchester Utd,2,3,81.7,84.4
2020-09-26,Crystal Palace,Everton,1,2,74.7,79.8
2020-09-26,West Brom,Chelsea,3,3,76.4,85.1
2020-09-26,Burnley,Southampton,0,1,76.9,82.4
2020-09-27,Sheffield Utd,Leeds United,0,1,78.9,83.8
2020-09-27,Tottenham,Newcastle Utd,1,1,81.4,72.9
2020-09-27,Manchester City,Leicester City,2,5,88.4,87.6
2020-09-27,West Ham,Wolves,4,0,80.7,81.8
2020-09-28,Fulham,Aston Villa,0,3,78.2,79.0
2020-09-28,Liverpool,Arsenal,3,1,86.0,86.9
2020-10-03,Chelsea,Crystal Palace,4,0,85.1,74.7
2020-10-03,Everton,Brighton,4,2,79.8,81.7
2020-10-03,Leeds United,Manchester City,1,1,83.8,88.4
2020-10-03,Newcastle Utd,Burnley,3,1,72.9,76.9
2020-10-04,Leicester City,West Ham,0,3,87.6,80.7
2020-10-04,Southampton,West Brom,2,0,82.4,76.4
2020-10-04,Arsenal,Sheffield Utd,2,1,86.9,78.9
2020-10-04,Wolves,Fulham,1,0,81.8,78.2
2020-10-04,Manchester Utd,Tottenham,1,6,84.4,81.4
2020-10-04,Aston Villa,Liverpool,7,2,79.0,86.0
2020-10-17,Everton,Liverpool,2,2,79.8,86.0
2020-10-17,Chelsea,Southampton,3,3,85.1,82.4
2020-10-17,Manchester City,Arsenal,1,0,88.4,86.9
2020-10-17,Newcastle Utd,Manchester Utd,1,4,72.9,84.4
2020-10-18,Sheffield Utd,Fulham,1,1,78.9,78.2
2020-10-18,Crystal Palace,Brighton,1,1,74.7,81.7
2020-10-18,Tottenham,West Ham,3,3,81.4,80.7
2020-10-18,Leicester City,Aston Villa,0,1,87.6,79.0
2020-10-19,West Brom,Burnley,0,0,76.4,76.9
2020-10-19,Leeds United,Wolves,0,1,83.8,81.8
2020-10-23,Aston Villa,Leeds United,0,3,79.0,83.8
2020-10-24,West Ham,Manchester City,1,1,80.7,88.4
