Player,Squad,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_Cmp,Total_Att,Total_Cmp%,Total_Cmp,Total_Att,Total_Cmp%,Total_Cmp,Total_Att,Total_Cmp%
Brenden Aaronson,Leeds United,86,109,78.9,1167,48,55,87.3,32,40,80.0,1,4,25.0
Joshua Acheampong,Chelsea,135,152,88.8,2261,58,63,92.1,75,79,94.9,2,8,25.0
Tyler Adams,Bournemouth,286,343,83.4,4935,124,142,87.3,141,156,90.4,19,29,65.5
Tosin Adarabioyo,Chelsea,314,349,90.0,5739,102,109,93.6,194,206,94.2,16,28,57.1
Simon Adingra,Sunderland,48,69,69.6,803,22,28,78.6,20,22,90.9,3,7,42.9
Amine Adli,Bournemouth,54,74,73.0,748,34,38,89.5,15,20,75.0,3,6,50.0
Emmanuel Agbadou,Wolves,280,349,80.2,6296,72,80,90.0,168,187,89.8,38,77,49.4
Nayef Aguerd,West Ham,106,119,89.1,1731,52,53,98.1,47,49,95.9,5,13,38.5
Ola Aina,Nott'ham Forest,125,157,79.6,2161,58,59,98.3,56,70,80.0,9,21,42.9
Rayan Aït-Nouri,Manchester City,105,121,86.8,1529,64,71,90.1,39,40,97.5,2,5,40.0
Kristoffer Ajer,Brentford,23,24,95.8,428,7,7,100.0,15,16,93.8,1,1,100.0
Nathan Aké,Manchester City,52,61,85.2,863,24,24,100.0,22,29,75.9,5,7,71.4
Carlos Alcaraz,Everton,28,36,77.8,509,11,14,78.6,14,17,82.4,3,3,100.0
Omar Alderete,Sunderland,285,337,84.6,5883,86,96,89.6,160,172,93.0,38,66,57.6
Alisson,Liverpool,211,254,83.1,5044,56,56,100.0,106,107,99.1,49,91,53.8
Ethan Ampadu,Leeds United,253,306,82.7,4813,91,104,87.5,127,144,88.2,30,49,61.2
Joachim Andersen,Fulham,377,447,84.3,8057,112,120,93.3,195,211,92.4,64,105,61.0
Elliot Anderson,Nott'ham Forest,453,530,85.5,7707,204,218,93.6,215,231,93.1,29,62,46.8
