Date,Home,Away,HomeGoals,AwayGoals,HomePass%,AwayPass%
2025-08-15,Liverpool,Bournemouth,4,2,78.9,70.7
2025-08-16,Aston Villa,Newcastle Utd,0,0,80.1,76.8
2025-08-16,Sunderland,West Ham,3,0,74.6,80.6
2025-08-16,Tottenham,Burnley,3,0,80.8,71.7
2025-08-16,Brighton,Fulham,1,1,76.9,76.3
2025-08-16,Wolves,Manchester City,0,4,76.8,83.1
2025-08-17,Nott'ham Forest,Brentford,3,1,76.8,73.1
2025-08-17,Chelsea,Crystal Palace,0,0,80.2,71.4
2025-08-17,Manchester Utd,Arsenal,0,1,76.8,79.2
2025-08-18,Leeds United,Everton,1,0,75.1,76.2
2025-08-22,West Ham,Chelsea,1,5,80.6,80.2
2025-08-23,Manchester City,Tottenham,0,2,83.1,80.8
2025-08-23,Bournemouth,Wolves,1,0,70.7,76.8
2025-08-23,Burnley,Sunderland,2,0,71.7,74.6
2025-08-23,Brentford,Aston Villa,1,0,73.1,80.1
2025-08-23,Arsenal,Leeds United,5,0,79.2,75.1
2025-08-24,Crystal Palace,Nott'ham Forest,1,1,71.4,76.8
2025-08-24,Everton,Brighton,2,0,76.2,76.9
2025-08-24,Fulham,Manchester Utd,1,1,76.3,76.8
2025-08-25,Newcastle Utd,Liverpool,2,3,76.8,78.9
2025-08-30,Chelsea,Fulham,2,0,80.2,76.3
2025-08-30,Tottenham,Bournemouth,0,1,80.8,70.7
2025-08-30,Sunderland,Brentford,2,1,74.6,73.1
2025-08-30,Wolves,Everton,2,3,76.8,76.2
2025-08-30,Manchester Utd,Burnley,3,2,76.8,71.7
2025-08-30,Leeds United,Newcastle Utd,0,0,75.1,76.8
2025-08-31,Nott'ham Forest,West Ham,0,3,76.8,80.6
2025-08-31,Brighton,Manchester City,2,1,76.9,83.1
2025-08-31,Liverpool,Arsenal,1,0,78.9,79.2
2025-08-31,Aston Villa,Crystal Palace,0,3,80.1,71.4
2025-09-13,Arsenal,Nott'ham Forest,3,0,79.2,76.8
2025-09-13,Everton,Aston Villa,0,0,76.2,80.1
2025-09-13,Fulham,Leeds United,1,0,76.3,75.1
2025-09-13,Newcastle Utd,Wolves,1,0,76.8,76.8
2025-09-13,Crystal Palace,Sunderland,0,0,71.4,74.6
2025-09-13,Bournemouth,Brighton,2,1,70.7,76.9
2025-09-13,West Ham,Tottenham,0,3,80.6,80.8
2025-09-13,Brentford,Chelsea,2,2,73.1,80.2
2025-09-14,Burnley,Liverpool,0,1,71.7,78.9
2025-09-14,Manchester City,Manchester Utd,3,0,83.1,76.8
2025-09-20,Liverpool,Everton,2,1,78.9,76.2
2025-09-20,West Ham,Crystal Palace,1,2,80.6,71.4
2025-09-20,Brighton,Tottenham,2,2,76.9,80.8
2025-09-20,Wolves,Leeds United,1,3,76.8,75.1
2025-09-20,Burnley,Nott'ham Forest,1,1,71.7,76.8
2025-09-20,Manchester Utd,Chelsea,2,1,76.8,80.2
2025-09-20,Fulham,Brentford,3,1,76.3,73.1
2025-09-21,Sunderland,Aston Villa,1,1,74.6,80.1
2025-09-21,Bournemouth,Newcastle Utd,0,0,70.7,76.8
2025-09-21,Arsenal,Manchester City,1,1,79.2,83.1
2025-09-27,Brentford,Manchester Utd,3,1,73.1,76.8
2025-09-27,Leeds United,Bournemouth,2,2,75.1,70.7
2025-09-27,Crystal Palace,Liverpool,2,1,71.4,78.9
2025-09-27,Chelsea,Brighton,1,3,80.2,76.9
2025-09-27,Manchester City,Burnley,5,1,83.1,71.7
2025-09-27,Nott'ham Forest,Sunderland,0,1,76.8,74.6
2025-09-27,Tottenham,Wolves,1,1,80.8,76.8
2025-09-28,Aston Villa,Fulham,3,1,80.1,76.3
2025-09-28,Newcastle Utd,Arsenal,1,2,76.8,79.2
2025-09-29,Everton,West Ham,1,1,76.2,80.6
2025-10-03,Bournemouth,Fulham,3,1,70.7,76.3
2025-10-04,Leeds United,Tottenham,1,2,75.1,80.8
2025-10-04,Arsenal,West Ham,2,0,79.2,80.6
2025-10-04,Manchester Utd,Sunderland,2,0,76.8,74.6
2025-10-04,Chelsea,Liverpool,2,1,80.2,78.9
2025-08-15,Liverpool,Bournemouth,4,2,78.9,70.7
2025-08-16,Aston Villa,Newcastle Utd,0,0,80.1,76.8
2025-08-16,Sunderland,West Ham,3,0,74.6,80.6
2025-08-16,Tottenham,Burnley,3,0,80.8,71.7
2025-08-16,Brighton,Fulham,1,1,76.9,76.3
2025-08-16,Wolves,Manchester City,0,4,76.8,83.1
2025-08-17,Nott'ham Forest,Brentford,3,1,76.8,73.1
2025-08-17,Chelsea,Crystal Palace,0,0,80.2,71.4
2025-08-17,Manchester Utd,Arsenal,0,1,76.8,79.2
2025-08-18,Leeds United,Everton,1,0,75.1,76.2
2025-08-22,West Ham,Chelsea,1,5,80.6,80.2
2025-08-23,Manchester City,Tottenham,0,2,83.1,80.8
2025-08-23,Bournemouth,Wolves,1,0,70.7,76.8
2025-08-23,Burnley,Sunderland,2,0,71.7,74.6
2025-08-23,Brentford,Aston Villa,1,0,73.1,80.1
2025-08-23,Arsenal,Leeds United,5,0,79.2,75.1
2025-08-24,Crystal Palace,Nott'ham Forest,1,1,71.4,76.8
2025-08-24,Everton,Brighton,2,0,76.2,76.9
2025-08-24,Fulham,Manchester Utd,1,1,76.3,76.8
2025-08-25,Newcastle Utd,Liverpool,2,3,76.8,78.9
2025-08-30,Chelsea,Fulham,2,0,80.2,76.3
2025-08-30,Tottenham,Bournemouth,0,1,80.8,70.7
2025-08-30,Sunderland,Brentford,2,1,74.6,73.1
2025-08-30,Wolves,Everton,2,3,76.8,76.2
2025-08-30,Manchester Utd,Burnley,3,2,76.8,71.7
2025-08-30,Leeds United,Newcastle Utd,0,0,75.1,76.8
2025-08-31,Nott'ham Forest,West Ham,0,3,76.8,80.6
2025-08-31,Brighton,Manchester City,2,1,76.9,83.1
2025-08-31,Liverpool,Arsenal,1,0,78.9,79.2
2025-08-31,Aston Villa,Crystal Palace,0,3,80.1,71.4
2025-09-13,Arsenal,Nott'ham Forest,3,0,79.2,76.8
2025-09-13,Everton,Aston Villa,0,0,76.2,80.1
2025-09-13,Fulham,Leeds United,1,0,76.3,75.1
2025-09-13,Newcastle Utd,Wolves,1,0,76.8,76.8
2025-09-13,Crystal Palace,Sunderland,0,0,71.4,74.6
2025-09-13,Bournemouth,Brighton,2,1,70.7,76.9
2025-09-13,West Ham,Tottenham,0,3,80.6,80.8
2025-09-13,Brentford,Chelsea,2,2,73.1,80.2
2025-09-14,Burnley,Liverpool,0,1,71.7,78.9
2025-09-14,Manchester City,Manchester Utd,3,0,83.1,76.8
2025-09-20,Liverpool,Everton,2,1,78.9,76.2
2025-09-20,West Ham,Crystal Palace,1,2,80.6,71.4
2025-09-20,Brighton,Tottenham,2,2,76.9,80.8
2025-09-20,Wolves,Leeds United,1,3,76.8,75.1
2025-09-20,Burnley,Nott'ham Forest,1,1,71.7,76.8
2025-09-20,Manchester Utd,Chelsea,2,1,76.8,80.2
2025-09-20,Fulham,Brentford,3,1,76.3,73.1
2025-09-21,Sunderland,Aston Villa,1,1,74.6,80.1
2025-09-21,Bournemouth,Newcastle Utd,0,0,70.7,76.8
2025-09-21,Arsenal,Manchester City,1,1,79.2,83.1
2025-09-27,Brentford,Manchester Utd,3,1,73.1,76.8
2025-09-27,Leeds United,Bournemouth,2,2,75.1,70.7
2025-09-27,Crystal Palace,Liverpool,2,1,71.4,78.9
2025-09-27,Chelsea,Brighton,1,3,80.2,76.9
2025-09-27,Manchester City,Burnley,5,1,83.1,71.7
2025-09-27,Nott'ham Forest,Sunderland,0,1,76.8,74.6
2025-09-27,Tottenham,Wolves,1,1,80.8,76.8
2025-09-28,Aston Villa,Fulham,3,1,80.1,76.3
2025-09-28,Newcastle Utd,Arsenal,1,2,76.8,79.2
2025-09-29,Everton,West Ham,1,1,76.2,80.6
2025-10-03,Bournemouth,Fulham,3,1,70.7,76.3
2025-10-04,Leeds United,Tottenham,1,2,75.1,80.8
2025-10-04,Arsenal,West Ham,2,0,79.2,80.6
2025-10-04,Manchester Utd,Sunderland,2,0,76.8,74.6
2025-10-04,Chelsea,Liverpool,2,1,80.2,78.9
2025-08-15,Liverpool,Bournemouth,4,2,78.9,70.7
2025-08-16,Aston Villa,Newcastle Utd,0,0,80.1,76.8
2025-08-16,Sunderland,West Ham,3,0,74.6,80.6
2025-08-16,Tottenham,Burnley,3,0,80.8,71.7
2025-08-16,Brighton,Fulham,1,1,76.9,76.3
2025-08-16,Wolves,Manchester City,0,4,76.8,83.1
2025-08-17,Nott'ham Forest,Brentford,3,1,76.8,73.1
2025-08-17,Chelsea,Crystal Palace,0,0,80.2,71.4
2025-08-17,Manchester Utd,Arsenal,0,1,76.8,79.2
2025-08-18,Leeds United,Everton,1,0,75.1,76.2
2025-08-22,West Ham,Chelsea,1,5,80.6,80.2
2025-08-23,Manchester City,Tottenham,0,2,83.1,80.8
2025-08-23,Bournemouth,Wolves,1,0,70.7,76.8
2025-08-23,Burnley,Sunderland,2,0,71.7,74.6
2025-08-23,Brentford,Aston Villa,1,0,73.1,80.1
2025-08-23,Arsenal,Leeds United,5,0,79.2,75.1
2025-08-24,Crystal Palace,Nott'ham Forest,1,1,71.4,76.8
2025-08-24,Everton,Brighton,2,0,76.2,76.9
2025-08-24,Fulham,Manchester Utd,1,1,76.3,76.8
2025-08-25,Newcastle Utd,Liverpool,2,3,76.8,78.9
2025-08-30,Chelsea,Fulham,2,0,80.2,76.3
2025-08-30,Tottenham,Bournemouth,0,1,80.8,70.7
2025-08-30,Sunderland,Brentford,2,1,74.6,73.1
2025-08-30,Wolves,Everton,2,3,76.8,76.2
2025-08-30,Manchester Utd,Burnley,3,2,76.8,71.7
2025-08-30,Leeds United,Newcastle Utd,0,0,75.1,76.8
2025-08-31,Nott'ham Forest,West Ham,0,3,76.8,80.6
2025-08-31,Brighton,Manchester City,2,1,76.9,83.1
2025-08-31,Liverpool,Arsenal,1,0,78.9,79.2
2025-08-31,Aston Villa,Crystal Palace,0,3,80.1,71.4
2025-09-13,Arsenal,Nott'ham Forest,3,0,79.2,76.8
2025-09-13,Everton,Aston Villa,0,0,76.2,80.1
2025-09-13,Fulham,Leeds United,1,0,76.3,75.1
2025-09-13,Newcastle Utd,Wolves,1,0,76.8,76.8
2025-09-13,Crystal Palace,Sunderland,0,0,71.4,74.6
2025-09-13,Bournemouth,Brighton,2,1,70.7,76.9
2025-09-13,West Ham,Tottenham,0,3,80.6,80.8
2025-09-13,Brentford,Chelsea,2,2,73.1,80.2
2025-09-14,Burnley,Liverpool,0,1,71.7,78.9
2025-09-14,Manchester City,Manchester Utd,3,0,83.1,76.8
2025-09-20,Liverpool,Everton,2,1,78.9,76.2
2025-09-20,West Ham,Crystal Palace,1,2,80.6,71.4
2025-09-20,Brighton,Tottenham,2,2,76.9,80.8
2025-09-20,Wolves,Leeds United,1,3,76.8,75.1
2025-09-20,Burnley,Nott'ham Forest,1,1,71.7,76.8
2025-09-20,Manchester Utd,Chelsea,2,1,76.8,80.2
2025-09-20,Fulham,Brentford,3,1,76.3,73.1
2025-09-21,Sunderland,Aston Villa,1,1,74.6,80.1
2025-09-21,Bournemouth,Newcastle Utd,0,0,70.7,76.8
2025-09-21,Arsenal,Manchester City,1,1,79.2,83.1
2025-09-27,Brentford,Manchester Utd,3,1,73.1,76.8
2025-09-27,Leeds United,Bournemouth,2,2,75.1,70.7
2025-09-27,Crystal Palace,Liverpool,2,1,71.4,78.9
2025-09-27,Chelsea,Brighton,1,3,80.2,76.9
2025-09-27,Manchester City,Burnley,5,1,83.1,71.7
2025-09-27,Nott'ham Forest,Sunderland,0,1,76.8,74.6
2025-09-27,Tottenham,Wolves,1,1,80.8,76.8
2025-09-28,Aston Villa,Fulham,3,1,80.1,76.3
2025-09-28,Newcastle Utd,Arsenal,1,2,76.8,79.2
2025-09-29,Everton,West Ham,1,1,76.2,80.6
2025-10-03,Bournemouth,Fulham,3,1,70.7,76.3
2025-10-04,Leeds United,Tottenham,1,2,75.1,80.8
2025-10-04,Arsenal,West Ham,2,0,79.2,80.6
2025-10-04,Manchester Utd,Sunderland,2,0,76.8,74.6
2025-10-04,Chelsea,Liverpool,2,1,80.2,78.9
2025-08-15,Liverpool,Bournemouth,4,2,78.9,70.7
2025-08-16,Aston Villa,Newcastle Utd,0,0,80.1,76.8
2025-08-16,Sunderland,West Ham,3,0,74.6,80.6
2025-08-16,Tottenham,Burnley,3,0,80.8,71.7
2025-08-16,Brighton,Fulham,1,1,76.9,76.3
2025-08-16,Wolves,Manchester City,0,4,76.8,83.1
2025-08-17,Nott'ham Forest,Brentford,3,1,76.8,73.1
2025-08-17,Chelsea,Crystal Palace,0,0,80.2,71.4
2025-08-17,Manchester Utd,Arsenal,0,1,76.8,79.2
2025-08-18,Leeds United,Everton,1,0,75.1,76.2
2025-08-22,West Ham,Chelsea,1,5,80.6,80.2
2025-08-23,Manchester City,Tottenham,0,2,83.1,80.8
2025-08-23,Bournemouth,Wolves,1,0,70.7,76.8
2025-08-23,Burnley,Sunderland,2,0,71.7,74.6
2025-08-23,Brentford,Aston Villa,1,0,73.1,80.1
2025-08-23,Arsenal,Leeds United,5,0,79.2,75.1
2025-08-24,Crystal Palace,Nott'ham Forest,1,1,71.4,76.8
2025-08-24,Everton,Brighton,2,0,76.2,76.9
2025-08-24,Fulham,Manchester Utd,1,1,76.3,76.8
2025-08-25,Newcastle Utd,Liverpool,2,3,76.8,78.9
2025-08-30,Chelsea,Fulham,2,0,80.2,76.3
2025-08-30,Tottenham,Bournemouth,0,1,80.8,70.7
2025-08-30,Sunderland,Brentford,2,1,74.6,73.1
2025-08-30,Wolves,Everton,2,3,76.8,76.2
2025-08-30,Manchester Utd,Burnley,3,2,76.8,71.7
2025-08-30,Leeds United,Newcastle Utd,0,0,75.1,76.8
2025-08-31,Nott'ham Forest,West Ham,0,3,76.8,80.6
2025-08-31,Brighton,Manchester City,2,1,76.9,83.1
2025-08-31,Liverpool,Arsenal,1,0,78.9,79.2
2025-08-31,Aston Villa,Crystal Palace,0,3,80.1,71.4
2025-09-13,Arsenal,Nott'ham Forest,3,0,79.2,76.8
2025-09-13,Everton,Aston Villa,0,0,76.2,80.1
2025-09-13,Fulham,Leeds United,1,0,76.3,75.1
2025-09-13,Newcastle Utd,Wolves,1,0,76.8,76.8
2025-09-13,Crystal Palace,Sunderland,0,0,71.4,74.6
2025-09-13,Bournemouth,Brighton,2,1,70.7,76.9
2025-09-13,West Ham,Tottenham,0,3,80.6,80.8
2025-09-13,Brentford,Chelsea,2,2,73.1,80.2
2025-09-14,Burnley,Liverpool,0,1,71.7,78.9
2025-09-14,Manchester City,Manchester Utd,3,0,83.1,76.8
2025-09-20,Liverpool,Everton,2,1,78.9,76.2
2025-09-20,West Ham,Crystal Palace,1,2,80.6,71.4
2025-09-20,Brighton,Tottenham,2,2,76.9,80.8
2025-09-20,Wolves,Leeds United,1,3,76.8,75.1
2025-09-20,Burnley,Nott'ham Forest,1,1,71.7,76.8
2025-09-20,Manchester Utd,Chelsea,2,1,76.8,80.2
2025-09-20,Fulham,Brentford,3,1,76.3,73.1
2025-09-21,Sunderland,Aston Villa,1,1,74.6,80.1
2025-09-21,Bournemouth,Newcastle Utd,0,0,70.7,76.8
2025-09-21,Arsenal,Manchester City,1,1,79.2,83.1
2025-09-27,Brentford,Manchester Utd,3,1,73.1,76.8
2025-09-27,Leeds United,Bournemouth,2,2,75.1,70.7
2025-09-27,Crystal Palace,Liverpool,2,1,71.4,78.9
2025-09-27,Chelsea,Brighton,1,3,80.2,76.9
